Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,2.69922373,98.69143198,Pantai Indah Situngkir (PIS),0.0,21(Hujan),22(Gerimis Berpetir),23(Gerimis Tidak Merata),23(Gerimis Berpetir),23(Badai Guntur Tidak Merata),23(Gerimis berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir)
northeast,2.68036938,98.83774983,Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan ),5000.0,25(Hujan),27(Gerimis Berpetir),28(Gerimis Tidak Merata),28(Gerimis Berpetir),28(Badai Guntur Tidak Merata),27(Gerimis Berpetir),28(Gerimis Berpetir),28(Gerimis Berpetir)
northeast,2.61872983,98.87335913,Parhallow viewpoint and coffee shop,350000.0,25(Hujan),27(Gerimis Berpetir),28(Gerimis Tidak Merata),28(Gerimis Berpetir),28(Badai Guntur Tidak Merata),27(Gerimis Berpetir),28(Gerimis Berpetir),28(Gerimis Berpetir)
northeast,2.75344378,98.74572693,Museum Huta Bolon Simanindo,0.0,25(Hujan),27(Gerimis Berpetir),28(Gerimis Tidak Merata),28(Gerimis Berpetir),28(Badai Guntur Tidak Merata),27(Gerimis Berpetir),28(Gerimis Berpetir),28(Gerimis Berpetir)
northeast,2.69629943,98.69113898,Pasir putih Parbaba,10000.0,24(Gerimis),26(Gerimis Berpetir),27(Gerimis Tidak Merata),24(Gerimis Berpetir),27(Badai Guntur Tidak Merata) ,26(Gerimis Berpetir),27(Badai Guntur),26(Gerimis Berpetir)
northeast,2.5399129,98.64625673,Efrata Waterfall,0.0,22(Gerimis),23(Gerimis Berpetir),25(Gerimis Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir)
northeast,2.53249,98.7003024,Bukit Holbung Samosir,5000.0,23(Hujan),24(Gerimis Berpetir),26(Gerimis Tidak Merata),25(Gerimis Berpetir),26(Badai Guntur Tidak Merata),25(Gerimis Berpetir),26(Badai Guntur),25(Gerimis Berpetir)
northeast,2.53205288,98.73527253,Pemandian Air Panas Rianiate,5000.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.62005908,98.67688598,SAMTO AEK RANGAT,5000.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.55342898,98.64114263,Menara Pandang Tele Samosir,7000.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.65209423,98.86154413,Batak Museum,10000.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.76142603,98.72622573,Pantai Batu Hoda (Batu Hoda Beach),140000.0,24(Hujan),26(Gerimis Berpetir),27(Badai Guntur Tidak merata),27(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir),27(Gerimis Berpetir),26(Gerimis Berpetir)
northeast,2.59157223,98.63038383,Batu Hobon,5000.0,22(Hujan),24(Gerimis Berpetir),25(Gerimis Tidak Merata),25(Badai Guntur Tidak Merata),25(Badai Guntur Tidak Merata),24(Gerimis Berpetir),25(Badai Guntur Tidak Merata),25(Gerimis Berpetir)
northeast,2.65318253,98.86209628,Pertunjukan Tari SIGALE GALE,5000.0,22(Hujan),24(Gerimis Berpetir),25(Gerimis Tidak Merata),25(Badai Guntur Tidak Merata),25(Badai Guntur Tidak Merata),24(Gerimis Berpetir),25(Badai Guntur Tidak Merata),25(Gerimis Berpetir)
northeast,2.60550848,98.86941988,Batu marhosa,120000.0,21(Hujan),23(Gerimis Berpetir),24(Gerimis Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),23(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
northeast,2.59656783,98.64749283,Batu Sawan,5000.0,21(Hujan),23(Gerimis Berpetir),24(Gerimis Tidak Merata),24(Badai Guntur Tidak Merata),24(Badai Guntur Tidak Merata),23(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir)
northeast,2.61160083,98.86577628,AIR TERJUN SIGARATTUNG ( Sampuran Na Pitu),5000.0,21(Hujan),23(Gerimis Berpetir),24(Gerimis Tidak Merata),24(Badai Guntur Tidak Merata),24(Badai Guntur Tidak Merata),23(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir)
northeast,2.66257638,98.84808813,Bukit Beta Tuk-tuk,100000.0,24(Hujan),26(Gerimis Berpetir),27(Gerimis Tidak Merata),27(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis berpetir),27(Gerimis Berpetir)
northeast,2.59124275,98.6258496,Hadabuan Naisogop Waterfalls,15000.0,24(Hujan),26(Gerimis Berpetir),27(Gerimis Tidak Merata),27(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis berpetir),27(Gerimis Berpetir)
northeast,2.613146,98.84415473,Botanical Samosir,25000.0,21(Hujan),22(Gerimis Berpetir),23(Gerimis Tidak Merata),23(Gerimis Berpetir),23(Badai Guntur Tidak Merata),23(Gerimis berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir)
northeast,2.69922373,98.69143198,Pantai Indah Situngkir (PIS),0.0,21(Hujan),22(Gerimis Berpetir),23(Gerimis Tidak Merata),23(Gerimis Berpetir),23(Badai Guntur Tidak Merata),23(Gerimis berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir)
northeast,2.68036938,98.83774983,Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan ),5000.0,25(Hujan),27(Gerimis Berpetir),28(Gerimis Tidak Merata),28(Gerimis Berpetir),28(Badai Guntur Tidak Merata),27(Gerimis Berpetir),28(Gerimis Berpetir),28(Gerimis Berpetir)
northeast,2.61872983,98.87335913,Parhallow viewpoint and coffee shop,350000.0,25(Hujan),27(Gerimis Berpetir),28(Gerimis Tidak Merata),28(Gerimis Berpetir),28(Badai Guntur Tidak Merata),27(Gerimis Berpetir),28(Gerimis Berpetir),28(Gerimis Berpetir)
